web_scraper_order,web_scraper_start_url,autres_animaux,nom,prix,adresse,image
"1771238033-79","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387"
"1771238033-80","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paon-4804686"
"1771238033-81","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paon-4435457"
"1771238033-82","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-2663712"
"1771238033-83","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/trio-de-paon-bleu-3389732"
"1771238033-84","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-adulte-3372722"
"1771238033-85","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-4686441"
"1771238033-86","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paons-bleus-3916692"
"1771238035-87","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/profil/2363122a-bd98-4c29-b73a-f4c5ef6a38b8"
"1771238035-88","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/profil/2363122a-bd98-4c29-b73a-f4c5ef6a38b8"
"1771238035-89","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-5520138"
"1771238035-90","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-1428089"
"1771238035-91","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739"
"1771238035-92","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792"
"1771238035-93","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-2281845"
"1771238035-94","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-5499869"
"1771238035-95","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/poussins-doies-3569402"
"1771238035-96","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-de-toulouse-3496368"
"1771238035-97","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-guineen-3316816"
"1771238035-98","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oie-gardien-3316810"
"1771238035-99","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172011"
"1771238035-100","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172006"
"1771238038-101","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/profil/2363122a-bd98-4c29-b73a-f4c5ef6a38b8"
"1771238038-102","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/profil/2363122a-bd98-4c29-b73a-f4c5ef6a38b8"
